tau,tauDot,q,qDot,u
-1,0,-96.8901,0,0
-1,0,-96.884,0,0
-1,0,-96.8778,0,0
-1,0,-96.8716,0,0
-1,0,-96.8655,0,0
-1,0,-96.8593,0,0
-1,0,-96.8531,0,0
-1,0,-96.847,0,0
-1,0,-96.8408,0,0
-1,0,-96.8346,0,0
-1,0,-96.8285,0,0
-1,0,-96.8223,0,0
-1,0,-96.8161,0,0
-1,0,-96.81,0,0
-1,0,-96.8038,0,0
-1,0,-96.7976,0,0
-1,0,-96.7915,0,0
-1,0,-96.7853,0,0
-1,0,-96.7791,0,0
-1,0,-96.773,0,0
-1,0,-96.7668,0,0
-1,0,-96.7606,0,0
-1,0,-96.7545,0,0
-1,0,-96.7483,0,0
-1,0,-96.7421,0,0
-1,0,-96.736,0,0
-1,0,-96.7298,0,0
-1,0,-96.7237,0,0
-1,0,-96.7175,0,0
-1,0,-96.7113,0,0
-1,0,-96.7052,0,0
-1,0,-96.699,0,0
-1,0,-96.6929,0,0
-1,0,-96.6867,0,0
-1,0,-96.6805,0,0
-1,0,-96.6744,0,0
-1,0,-96.6682,0,0
-1,0,-96.6621,0,0
-1,0,-96.6559,0,0
-1,0,-96.6498,0,0
-1,0,-96.6436,0,0
-1,0,-96.6375,0,0
-1,0,-96.6313,0,0
-1,0,-96.6251,0,0
-1,0,-96.619,0,0
-1,0,-96.6128,0,0
-1,0,-96.6067,0,0
-1,0,-96.6005,0,0
-1,0,-96.5944,0,0
-1,0,-96.5882,0,0
-1,0,-96.5821,0,0
-1,0,-96.5759,0,0
-1,0,-96.5698,0,0
-1,0,-96.5636,0,0
-1,0,-96.5575,0,0
-1,0,-96.5513,0,0
-1,0,-96.5452,0,0
-1,0,-96.539,0,0
-1,0,-96.5329,0,0
-1,0,-96.5267,0,0
-1,0,-96.5206,0,0
-1,0,-96.5144,0,0
-1,0,-96.5083,0,0
-1,0,-96.5021,0,0
-1,0,-96.496,0,0
-1,0,-96.4898,0,0
-1,0,-96.4837,0,0
-1,0,-96.4775,0,0
-1,0,-96.4714,0,0
-1,0,-96.4653,0,0
-1,0,-96.4591,0,0
-1,0,-96.453,0,0
-1,0,-96.4468,0,0
-1,0,-96.4407,0,0
-1,0,-96.4345,0,0
-1,0,-96.4284,0,0
-1,0,-96.4223,0,0
-1,0,-96.4161,0,0
-1,0,-96.41,0,0
